                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3993,                  4.273,                 1.2741,                0.51198,                0.43306,                 0.4048,                0.27857,                 1.1507,                 3.2661,                 1.1123,              7.752e-05,              7.752e-05,              7.752e-05
                      2,                 1.0893,                 1.3931,                 1.0692,                0.89964,                0.91579,                0.97508,                0.70887,                 1.0169,                 1.0251,                 1.0599,             0.00015514,             0.00015514,             0.00015514
                      3,                  1.039,                0.86295,                 1.0493,                0.94043,                0.95523,                0.98381,                0.71562,                 1.0439,                0.66374,                 1.0558,             0.00022955,             0.00022955,             0.00022955
                      4,                 1.0209,                 0.7528,                 1.0362,                0.95009,                0.95759,                0.98672,                 0.7199,                 1.0507,                0.62637,                 1.0783,             0.00030078,             0.00030078,             0.00030078
                      5,                 1.0158,                0.67753,                 1.0315,                0.95299,                0.95809,                0.97681,                0.72256,                 1.0234,                 0.6241,                  1.057,             0.00029742,             0.00029742,             0.00029742
                      6,                 1.0064,                0.63804,                 1.0298,                 0.9815,                0.97862,                0.98954,                0.73322,                 1.0053,                0.51298,                 1.0423,             0.00029102,             0.00029102,             0.00029102
                      7,                0.98742,                0.59884,                 1.0246,                0.97117,                0.97167,                0.98869,                0.72836,                 1.0288,                0.52401,                 1.0693,             0.00028463,             0.00028463,             0.00028463
                      8,                0.97553,                0.58045,                 1.0204,                 0.9764,                0.97817,                0.98917,                0.74131,                0.98391,                0.47875,                 1.0417,             0.00027823,             0.00027823,             0.00027823
                      9,                0.96793,                 0.5659,                 1.0183,                0.97648,                 0.9866,                0.98905,                0.73878,                 1.0074,                0.46813,                 1.0582,             0.00027184,             0.00027184,             0.00027184
                     10,                0.96915,                0.54323,                 1.0208,                0.97887,                0.98486,                0.98994,                0.74117,                  1.009,                0.45291,                 1.0627,             0.00026544,             0.00026544,             0.00026544
                     11,                0.95272,                0.53541,                 1.0138,                0.98047,                0.97926,                0.99002,                0.73606,                 1.0187,                0.45422,                 1.0587,             0.00025905,             0.00025905,             0.00025905
                     12,                0.94446,                0.51215,                 1.0081,                0.97738,                0.98366,                 0.9889,                0.72963,                 1.0478,                0.46369,                 1.0548,             0.00025265,             0.00025265,             0.00025265
                     13,                0.94512,                0.51698,                 1.0092,                 0.9796,                0.98191,                0.99143,                0.74726,                0.98141,                0.42856,                 1.0386,             0.00024626,             0.00024626,             0.00024626
                     14,                 0.9402,                0.49543,                  1.008,                0.97969,                0.98727,                0.99061,                0.74676,                 1.0011,                0.41772,                 1.0518,             0.00023986,             0.00023986,             0.00023986
                     15,                 0.9355,                0.49764,                 1.0099,                0.97505,                 0.9896,                0.98912,                 0.7419,                 1.0207,                 0.4241,                 1.0518,             0.00023346,             0.00023346,             0.00023346
                     16,                0.93479,                0.48535,                 1.0029,                0.97795,                0.98789,                0.98766,                0.74419,                 1.0087,                 0.4096,                  1.051,             0.00022707,             0.00022707,             0.00022707
