                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75558,                 1.4083,                0.91592,                0.86864,                0.80503,                0.84926,                0.66447,                0.83911,                0.88035,                0.92278,             0.00066348,             0.00066348,             0.00066348
                      2,                0.78872,                0.60169,                0.94303,                0.93743,                0.85325,                0.90211,                0.71012,                0.76476,                0.70002,                0.90496,              0.0011985,              0.0011985,              0.0011985
                      3,                 0.7625,                0.55627,                0.93023,                0.98147,                0.88851,                0.95127,                0.75535,                0.74248,                0.47198,                0.89191,              0.0016014,              0.0016014,              0.0016014
                      4,                0.73415,                0.49876,                0.92527,                0.96644,                0.90548,                0.96633,                0.79519,                0.65412,                0.43856,                 0.8711,               0.001406,               0.001406,               0.001406
                      5,                0.69785,                0.46348,                0.91461,                0.96744,                0.92453,                 0.9575,                0.77564,                0.68851,                0.41392,                0.87158,               0.001406,               0.001406,               0.001406
                      6,                0.68354,                0.43537,                0.89156,                0.95058,                0.92747,                0.96298,                0.80336,                0.63056,                0.41615,                0.85544,               0.001208,               0.001208,               0.001208
                      7,                0.65352,                0.41995,                0.88781,                0.97228,                0.93711,                0.97324,                0.82391,                0.58254,                0.36449,                 0.8422,                0.00101,                0.00101,                0.00101
                      8,                0.60266,                0.36789,                0.87369,                0.97676,                0.94549,                0.97414,                 0.8355,                0.56535,                0.33832,                0.83628,               0.000812,               0.000812,               0.000812
                      9,                0.58054,                0.34504,                0.85734,                0.97429,                0.95344,                0.97414,                 0.8429,                0.54443,                0.32746,                0.83266,               0.000614,               0.000614,               0.000614
                     10,                0.56078,                0.32454,                0.86274,                0.97647,                0.95682,                0.98008,                0.85179,                 0.5448,                0.31475,                0.82862,               0.000416,               0.000416,               0.000416
